,STATE,DISTRICT,CASES,cluster
233,DELHI,WEST,77547,High crime area
234,DELHI UT,CAW,203,Very low crime area
235,DELHI UT,CENTRAL,13494,Very low crime area
236,DELHI UT,CRIME BRANCH,132,Very low crime area
237,DELHI UT,EAST,29030,Low crime area
238,DELHI UT,EOW,248,Very low crime area
239,DELHI UT,GRP(RLY),760,Very low crime area
240,DELHI UT,IGI AIRPORT,804,Very low crime area
241,DELHI UT,METRO,2309,Very low crime area
242,DELHI UT,METRO RAIL,962,Very low crime area
243,DELHI UT,NEW DELHI,3879,Very low crime area
244,DELHI UT,NORTH,12282,Very low crime area
245,DELHI UT,NORTH-EAST,25945,Low crime area
246,DELHI UT,NORTH-WEST,19815,Very low crime area
247,DELHI UT,OUTER,29898,Low crime area
248,DELHI UT,RAILWAY,1816,Very low crime area
249,DELHI UT,SOUTH,25963,Low crime area
250,DELHI UT,SOUTH-EAST,23522,Low crime area
251,DELHI UT,SOUTH-WEST,17283,Very low crime area
252,DELHI UT,SPL CELL,14,Very low crime area
253,DELHI UT,SPUWAC,160,Very low crime area
254,DELHI UT,STF,14,Very low crime area
256,DELHI UT,VIGILANCE,0,Very low crime area
257,DELHI UT,WEST,27301,Low crime area
259,GOA,C. I. D.,112,Very low crime area
260,GOA,NORTH GOA,23648,Low crime area
261,GOA,SOUTH GOA,17069,Very low crime area
264,GUJARAT,AHMEDABAD CITY,15286,Very low crime area
265,GUJARAT,AHMEDABAD COMMR.,152842,Very high crime area
266,GUJARAT,AHMEDABAD RURAL,46015,Low crime area
267,GUJARAT,AHWA-DANG,2485,Very low crime area
268,GUJARAT,AMRELI,31798,Low crime area
269,GUJARAT,ANAND,47604,Low crime area
270,GUJARAT,ARVALLI,3841,Very low crime area
271,GUJARAT,BANASKANTHA,4464,Very low crime area
272,GUJARAT,BHARUCH,40101,Low crime area
273,GUJARAT,BHAVNAGAR,73713,High crime area
274,GUJARAT,BOTAD,783,Very low crime area
275,GUJARAT,C. I. D. CRIME,8,Very low crime area
276,GUJARAT,CHHOTAUDEPUR,1144,Very low crime area
277,GUJARAT,CID CRIME,62,Very low crime area
278,GUJARAT,DAHOD,24556,Low crime area
279,GUJARAT,DANG,283,Very low crime area
280,GUJARAT,DEVBHUMI DWARKA,1106,Very low crime area
281,GUJARAT,GANDHINAGAR,63453,High crime area
282,GUJARAT,GIR SOMNATH,1405,Very low crime area
283,GUJARAT,HIMATNAGAR,66884,High crime area
284,GUJARAT,JAMNAGAR,61363,High crime area
285,GUJARAT,JUNAGADH,65301,High crime area
286,GUJARAT,KACHCHH EAST(G),3349,Very low crime area
287,GUJARAT,KACHCHH WEST(B),2269,Very low crime area
288,GUJARAT,KHEDA,3614,Very low crime area
289,GUJARAT,KHEDA NORTH,58113,High crime area
290,GUJARAT,KUTCH,42700,Low crime area
291,GUJARAT,KUTCH (EAST(G)),8466,Very low crime area
292,GUJARAT,KUTCH (WEST-BHUJ),5845,Very low crime area
293,GUJARAT,MAHISAGAR,1040,Very low crime area
294,GUJARAT,MEHSANA,71680,High crime area
295,GUJARAT,MORBI,2332,Very low crime area
296,GUJARAT,NARMADA,9909,Very low crime area
297,GUJARAT,NAVSARI,18098,Very low crime area
298,GUJARAT,PALANPUR,57400,High crime area
299,GUJARAT,PANCHMAHAL,43719,Low crime area
300,GUJARAT,PATAN,37676,Low crime area
301,GUJARAT,PORBANDAR,13739,Very low crime area
302,GUJARAT,RAJKOT CITY,3516,Very low crime area
303,GUJARAT,RAJKOT COMMR.,55748,High crime area
304,GUJARAT,RAJKOT RURAL,58584,High crime area
305,GUJARAT,SABARKANTHA,5647,Very low crime area
306,GUJARAT,SURAT CITY,4397,Very low crime area
307,GUJARAT,SURAT COMMR.,109347,Very high crime area
308,GUJARAT,SURAT RURAL,33652,Low crime area
309,GUJARAT,SURENDRANAGAR,41744,Low crime area
310,GUJARAT,TAPI,5248,Very low crime area
312,GUJARAT,VADODARA CITY,12651,Very low crime area
313,GUJARAT,VADODARA COMMR.,80233,High crime area
314,GUJARAT,VADODARA RURAL,42569,Low crime area
315,GUJARAT,VALSAD,32961,Low crime area
316,GUJARAT,W.RLY,13502,Very low crime area
317,GUJARAT,W.RLY  AHMEDABAD,454,Very low crime area
318,GUJARAT,W.RLY AHMEDABAD,1050,Very low crime area
319,GUJARAT,W.RLY VADODARA,2423,Very low crime area
321,HARYANA,AMBALA,26471,Low crime area
322,HARYANA,AMBALA (RURAL),1098,Very low crime area
323,HARYANA,AMBALA (URBAN),1977,Very low crime area
324,HARYANA,AMBALA RURAL,2192,Very low crime area
325,HARYANA,AMBALA URBAN,4597,Very low crime area
326,HARYANA,BHIWANI,38460,Low crime area
327,HARYANA,FARIDABAD,75244,High crime area
328,HARYANA,FATEHABAD,20651,Low crime area
329,HARYANA,G. R. P.,1139,Very low crime area
330,HARYANA,GRP,13161,Very low crime area
331,HARYANA,GURGAON,85934,High crime area
332,HARYANA,HISSAR,49286,Low crime area
333,HARYANA,I&P HARYANA,649,Very low crime area
334,HARYANA,IRRIGATION & POWER,192,Very low crime area
335,HARYANA,JHAJJAR,23642,Low crime area
336,HARYANA,JIND,26372,Low crime area
337,HARYANA,KAITHAL,21416,Low crime area
338,HARYANA,KARNAL,43889,Low crime area
339,HARYANA,KURUKSHETRA,31714,Low crime area
340,HARYANA,MAHENDERGARH,2262,Very low crime area
341,HARYANA,MAHENDRAGARH,20578,Low crime area
342,HARYANA,MEWAT,18525,Very low crime area
343,HARYANA,PALWAL,20673,Low crime area
344,HARYANA,PANCHKULA,19322,Very low crime area
345,HARYANA,PANIPAT,37148,Low crime area
346,HARYANA,REWARI,28733,Low crime area
347,HARYANA,ROHTAK,35630,Low crime area
348,HARYANA,SIRSA,28711,Low crime area
349,HARYANA,SONIPAT,40473,Low crime area
351,HARYANA,YAMUNANAGAR,27209,Low crime area
353,HIMACHAL PRADESH,BADDI,651,Very low crime area
354,HIMACHAL PRADESH,BADDIPOLICEDIST,2524,Very low crime area
355,HIMACHAL PRADESH,BILASPUR,15553,Very low crime area
356,HIMACHAL PRADESH,C. I. D.,4,Very low crime area
357,HIMACHAL PRADESH,CHAMBA,9221,Very low crime area
358,HIMACHAL PRADESH,CID,24,Very low crime area
359,HIMACHAL PRADESH,G. R. P.,9,Very low crime area
360,HIMACHAL PRADESH,G.R.P.,132,Very low crime area
361,HIMACHAL PRADESH,HAMIRPUR,12872,Very low crime area
362,HIMACHAL PRADESH,KANGRA,32723,Low crime area
363,HIMACHAL PRADESH,KHURDA,2632,Very low crime area
364,HIMACHAL PRADESH,KULLU,12077,Very low crime area
365,HIMACHAL PRADESH,LAHAUL & SPITI,84,Very low crime area
366,HIMACHAL PRADESH,LAHAUL-SPITI,909,Very low crime area
367,HIMACHAL PRADESH,MANDI,25820,Low crime area
368,HIMACHAL PRADESH,SHIMLA,27558,Low crime area
369,HIMACHAL PRADESH,SIRMAUR,11101,Very low crime area
370,HIMACHAL PRADESH,SOLAN,16190,Very low crime area
372,HIMACHAL PRADESH,UNA,12774,Very low crime area
374,JAMMU & KASHMIR,ANANTNAG,19197,Very low crime area
375,JAMMU & KASHMIR,AWANTIPORA,5406,Very low crime area
376,JAMMU & KASHMIR,BANDIPORA,3877,Very low crime area
377,JAMMU & KASHMIR,BARAMULLA,20250,Low crime area
378,JAMMU & KASHMIR,BORDER,3451,Very low crime area
379,JAMMU & KASHMIR,BORDER DISTRICT,1192,Very low crime area
380,JAMMU & KASHMIR,BUDGAM,15917,Very low crime area
381,JAMMU & KASHMIR,CRIME JAMMU,402,Very low crime area
382,JAMMU & KASHMIR,CRIME KASHMIR,32,Very low crime area
383,JAMMU & KASHMIR,CRIME SRINAGAR,759,Very low crime area
384,JAMMU & KASHMIR,DODA,10536,Very low crime area
385,JAMMU & KASHMIR,GANDERBAL,6987,Very low crime area
386,JAMMU & KASHMIR,HANDWARA,5962,Very low crime area
387,JAMMU & KASHMIR,JAMMU,52236,High crime area
388,JAMMU & KASHMIR,KARGIL,1402,Very low crime area
389,JAMMU & KASHMIR,KATHUA,15119,Very low crime area
390,JAMMU & KASHMIR,KISHTWAR,2529,Very low crime area
391,JAMMU & KASHMIR,KULGAM,9542,Very low crime area
392,JAMMU & KASHMIR,KUPWARA,9455,Very low crime area
393,JAMMU & KASHMIR,LEH,2490,Very low crime area
394,JAMMU & KASHMIR,POONCH,10629,Very low crime area
395,JAMMU & KASHMIR,PULWAMA,9537,Very low crime area
396,JAMMU & KASHMIR,RAILWAYS,241,Very low crime area
397,JAMMU & KASHMIR,RAILWAYS JAMMU,65,Very low crime area
398,JAMMU & KASHMIR,RAILWAYS KASHMIR,75,Very low crime area
399,JAMMU & KASHMIR,RAILWAYS KATRA,9,Very low crime area
400,JAMMU & KASHMIR,RAILWAYS KMR,10,Very low crime area
401,JAMMU & KASHMIR,RAJOURI,19913,Very low crime area
402,JAMMU & KASHMIR,RAMBAN,9319,Very low crime area
403,JAMMU & KASHMIR,REASI,6527,Very low crime area
404,JAMMU & KASHMIR,SAMBA,4926,Very low crime area
405,JAMMU & KASHMIR,SHOPIAN,3466,Very low crime area
406,JAMMU & KASHMIR,SOPORE,3164,Very low crime area
407,JAMMU & KASHMIR,SRINAGAR,39058,Low crime area
409,JAMMU & KASHMIR,UDHAMPUR,14710,Very low crime area
411,JHARKHAND,BOKARO,37227,Low crime area
412,JHARKHAND,CHAIBASA,12293,Very low crime area
413,JHARKHAND,CHATRA,13013,Very low crime area
414,JHARKHAND,DEOGHAR,23197,Low crime area
415,JHARKHAND,DHANBAD,52821,High crime area
416,JHARKHAND,DHANBAD RAILWAY,365,Very low crime area
417,JHARKHAND,DHANBAD RLY.,4277,Very low crime area
418,JHARKHAND,DUMKA,19892,Very low crime area
419,JHARKHAND,GARHWA,19836,Very low crime area
420,JHARKHAND,GIRIDIH,37090,Low crime area
421,JHARKHAND,GODDA,22531,Low crime area
422,JHARKHAND,GUMLA,12490,Very low crime area
423,JHARKHAND,HAZARIBAGH,37714,Low crime area
424,JHARKHAND,JAMSHEDPUR,46387,Low crime area
425,JHARKHAND,JAMSHEDPUR RAILWAY,188,Very low crime area
426,JHARKHAND,JAMSHEDPUR RLY.,3142,Very low crime area
427,JHARKHAND,JAMTARA,9425,Very low crime area
428,JHARKHAND,KHOWAI,2929,Very low crime area
429,JHARKHAND,KODERMA,13402,Very low crime area
430,JHARKHAND,LATEHAR,7632,Very low crime area
